model,normal,el
Baseline,91.35,83.05
\(/f/\) \(\rightarrow\) \(/v/\),89.96,83.05
\(/k/\) \(\rightarrow\) \(/g/\),90.68,83.10
\(/s/\)+\(/\check{s}/\) \(\rightarrow\) \(/z/\)+\(/\check{z}/\),88.77,83.71
\(/t/\)+\(/\text{\textit{ť}}/\) \(\rightarrow\) \(/d/\)+\(/\text{\textit{ď}}/\),90.05,82.47
Náhrada všech,86.58,82.78
